scenario;year;kaukok;sahko;pumput;muu
wem;2018;0;0;0;0
wem;2019;0;0;0;0
wem;2020;0;0;0;0
wem;2021;0;0;0;0
wem;2022;0;0;0;0
wem;2023;0;0;0;0
wem;2024;0;0;0;0
wem;2025;0;0;0;0
wem;2026;0;0;0;0
wem;2027;0;0;0;0
wem;2028;0;0;0;0
wem;2029;0;0;0;0
wem;2030;0;0;0;0
wem;2031;0;0;0;0
wem;2032;0;0;0;0
wem;2033;0;0;0;0
wem;2034;0;0;0;0
wem;2035;0;0;0;0
wem;2036;0;0;0;0
wem;2037;0;0;0;0
wem;2038;0;0;0;0
wem;2039;0;0;0;0
wem;2040;0;0;0;0
wem;2041;0;0;0;0
wem;2042;0;0;0;0
wem;2043;0;0;0;0
wem;2044;0;0;0;0
wem;2045;0;0;0;0
wem;2046;0;0;0;0
wem;2047;0;0;0;0
wem;2048;0;0;0;0
wem;2049;0;0;0;0
wem;2050;0;0;0;0
eu80;2018;0;0;0;0
eu80;2019;0;0;0;0
eu80;2020;0;0;0;0
eu80;2021;0;0;0;0
eu80;2022;0;0;0;0
eu80;2023;0;0;0;0
eu80;2024;0;0;0;0
eu80;2025;0;0;0;0
eu80;2026;0;0;0;0
eu80;2027;0;0;0;0
eu80;2028;0;0;0;0
eu80;2029;0;0;0;0
eu80;2030;0;0;0;0
eu80;2031;0;0;0;0
eu80;2032;0;0;0;0
eu80;2033;0;0;0;0
eu80;2034;0;0;0;0
eu80;2035;0;0;0;0
eu80;2036;0;0;0;0
eu80;2037;0;0;0;0
eu80;2038;0;0;0;0
eu80;2039;0;0;0;0
eu80;2040;0;0;0;0
eu80;2041;0;0;0;0
eu80;2042;0;0;0;0
eu80;2043;0;0;0;0
eu80;2044;0;0;0;0
eu80;2045;0;0;0;0
eu80;2046;0;0;0;0
eu80;2047;0;0;0;0
eu80;2048;0;0;0;0
eu80;2049;0;0;0;0
eu80;2050;0;0;0;0
kasvu;2018;0;0;0;0
kasvu;2019;0;0;0;0
kasvu;2020;0;0;0;0
kasvu;2021;0;0;0;0
kasvu;2022;0;0;0;0
kasvu;2023;0;0;0;0
kasvu;2024;0;0;0;0
kasvu;2025;0;0;0;0
kasvu;2026;0;0;0;0
kasvu;2027;0;0;0;0
kasvu;2028;0;0;0;0
kasvu;2029;0;0;0;0
kasvu;2030;0;0;0;0
kasvu;2031;0;0;0;0
kasvu;2032;0;0;0;0
kasvu;2033;0;0;0;0
kasvu;2034;0;0;0;0
kasvu;2035;0;0;0;0
kasvu;2036;0;0;0;0
kasvu;2037;0;0;0;0
kasvu;2038;0;0;0;0
kasvu;2039;0;0;0;0
kasvu;2040;0;0;0;0
kasvu;2041;0;0;0;0
kasvu;2042;0;0;0;0
kasvu;2043;0;0;0;0
kasvu;2044;0;0;0;0
kasvu;2045;0;0;0;0
kasvu;2046;0;0;0;0
kasvu;2047;0;0;0;0
kasvu;2048;0;0;0;0
kasvu;2049;0;0;0;0
kasvu;2050;0;0;0;0
muutos;2018;0;0;0;0
muutos;2019;0;0;0;0
muutos;2020;0;0;0;0
muutos;2021;0;0;0;0
muutos;2022;0;0;0;0
muutos;2023;0;0;0;0
muutos;2024;0;0;0;0
muutos;2025;0;0;0;0
muutos;2026;0;0;0;0
muutos;2027;0;0;0;0
muutos;2028;0;0;0;0
muutos;2029;0;0;0;0
muutos;2030;0;0;0;0
muutos;2031;0;0;0;0
muutos;2032;0;0;0;0
muutos;2033;0;0;0;0
muutos;2034;0;0;0;0
muutos;2035;0;0;0;0
muutos;2036;0;0;0;0
muutos;2037;0;0;0;0
muutos;2038;0;0;0;0
muutos;2039;0;0;0;0
muutos;2040;0;0;0;0
muutos;2041;0;0;0;0
muutos;2042;0;0;0;0
muutos;2043;0;0;0;0
muutos;2044;0;0;0;0
muutos;2045;0;0;0;0
muutos;2046;0;0;0;0
muutos;2047;0;0;0;0
muutos;2048;0;0;0;0
muutos;2049;0;0;0;0
muutos;2050;0;0;0;0
saasto;2018;0;0;0;0
saasto;2019;0;0;0;0
saasto;2020;0;0;0;0
saasto;2021;0;0;0;0
saasto;2022;0;0;0;0
saasto;2023;0;0;0;0
saasto;2024;0;0;0;0
saasto;2025;0;0;0;0
saasto;2026;0;0;0;0
saasto;2027;0;0;0;0
saasto;2028;0;0;0;0
saasto;2029;0;0;0;0
saasto;2030;0;0;0;0
saasto;2031;0;0;0;0
saasto;2032;0;0;0;0
saasto;2033;0;0;0;0
saasto;2034;0;0;0;0
saasto;2035;0;0;0;0
saasto;2036;0;0;0;0
saasto;2037;0;0;0;0
saasto;2038;0;0;0;0
saasto;2039;0;0;0;0
saasto;2040;0;0;0;0
saasto;2041;0;0;0;0
saasto;2042;0;0;0;0
saasto;2043;0;0;0;0
saasto;2044;0;0;0;0
saasto;2045;0;0;0;0
saasto;2046;0;0;0;0
saasto;2047;0;0;0;0
saasto;2048;0;0;0;0
saasto;2049;0;0;0;0
saasto;2050;0;0;0;0
pysahdys;2018;0;0;0;0
pysahdys;2019;0;0;0;0
pysahdys;2020;0;0;0;0
pysahdys;2021;0;0;0;0
pysahdys;2022;0;0;0;0
pysahdys;2023;0;0;0;0
pysahdys;2024;0;0;0;0
pysahdys;2025;0;0;0;0
pysahdys;2026;0;0;0;0
pysahdys;2027;0;0;0;0
pysahdys;2028;0;0;0;0
pysahdys;2029;0;0;0;0
pysahdys;2030;0;0;0;0
pysahdys;2031;0;0;0;0
pysahdys;2032;0;0;0;0
pysahdys;2033;0;0;0;0
pysahdys;2034;0;0;0;0
pysahdys;2035;0;0;0;0
pysahdys;2036;0;0;0;0
pysahdys;2037;0;0;0;0
pysahdys;2038;0;0;0;0
pysahdys;2039;0;0;0;0
pysahdys;2040;0;0;0;0
